state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,8634,8634,471,23
Illinois,17,0,0,3594,0
California,06,0,0,3270,0
Arizona,04,21626,21626,956,53
Massachusetts,25,13299,13299,485,0
Wisconsin,55,11844,11844,1714,247
Texas,48,0,0,5936,0
Nebraska,31,3076,3076,642,26
Utah,49,5665,5665,382,89
Oregon,41,3251,3251,234,47
Florida,12,50298,50298,2486,235
New York,36,89995,89995,1227,0
Rhode Island,44,3406,3406,177,21
Georgia,13,31893,31893,1761,158
New Hampshire,33,784,784,41,3
North Carolina,37,0,0,1175,0
New Jersey,34,37871,37871,1133,133
Colorado,08,9180,9180,925,66
Maryland,24,17312,17312,562,60
Nevada,32,0,0,695,0
Tennessee,47,10407,10407,1609,67
Hawaii,15,1111,1111,65,4
Indiana,18,17384,17384,1867,229
Kentucky,21,7344,7344,1037,139
Minnesota,27,10647,10647,852,210
Oklahoma,40,9104,9104,974,170
Pennsylvania,42,0,0,1417,0
South Carolina,45,10599,10599,737,66
District of Columbia,11,0,0,93,0
Kansas,20,3893,3893,373,0
Missouri,29,0,0,1631,0
Vermont,50,0,0,3,0
Virginia,51,12739,12739,1026,65
Connecticut,09,12257,12257,340,0
Iowa,19,0,0,730,0
Louisiana,22,0,0,619,0
Ohio,39,19615,19615,1960,213
Michigan,26,0,0,2059,0
South Dakota,46,2824,2824,480,69
Arkansas,05,7194,7194,652,84
Delaware,10,0,0,107,0
Mississippi,28,6728,6728,672,0
New Mexico,35,4837,4837,401,100
North Dakota,38,1702,1702,335,46
Wyoming,56,471,471,124,13
Alaska,02,472,472,97,2
Maine,23,502,502,31,7
Alabama,01,20901,20901,1022,451
Idaho,16,2643,2643,155,28
Montana,30,1384,1384,389,11
West Virginia,54,0,0,271,0
