county,state,fips,cases,deaths
Wright,Missouri,29229,1365,29
Worth,Missouri,29227,143,1
Washington,Missouri,29221,2121,48
Webster,Missouri,29225,2995,53
Wayne,Missouri,29223,821,11
Stoddard,Missouri,29207,2314,36
Shelby,Missouri,29205,355,7
Stone,Missouri,29209,2030,38
Shannon,Missouri,29203,482,12
Scott,Missouri,29201,3840,77
Warren,Missouri,29219,2661,27
Vernon,Missouri,29217,1395,38
Campbell,Wyoming,56005,4676,57
Sullivan,Missouri,29211,747,14
Carbon,Wyoming,56007,1468,22
Albany,Wyoming,56001,3911,11
Texas,Missouri,29215,1544,22
Taney,Missouri,29213,4591,90
Big Horn,Wyoming,56003,1078,31
Converse,Wyoming,56009,969,16
Franklin,Kansas,20059,2446,39
Ford,Kansas,20057,5581,10
Floyd,Iowa,19067,1472,41
Finney,Kansas,20055,5985,49
Franklin,Iowa,19069,1089,19
Ellsworth,Kansas,20053,1210,4
Emmet,Iowa,19063,1147,40
Fayette,Iowa,19065,1779,35
Dubuque,Iowa,19061,12407,194
Montgomery,Virginia,51121,7806,86
Nelson,Virginia,51125,774,9
Ellis,Kansas,20051,3685,61
New Kent,Virginia,51127,1250,12
Gray,Kansas,20069,602,14
Grant,Kansas,20067,966,17
Guthrie,Iowa,19077,1088,28
Graham,Kansas,20065,250,2
Hamilton,Iowa,19079,1738,42
Washoe,Nevada,32031,43004,646
Greene,Iowa,19073,729,10
Grundy,Iowa,19075,1319,30
Fremont,Iowa,19071,558,9
Northampton,Virginia,51131,721,34
Northumberland,Virginia,51133,668,19
Nottoway,Virginia,51135,1809,41
White Pine,Nevada,32033,549,5
Orange,Virginia,51137,1862,28
Gove,Kansas,20063,385,22
Page,Virginia,51139,1832,53
Geary,Kansas,20061,3043,25
Dallas,Iowa,19049,10166,92
Newport,Rhode Island,44005,5215,36
Crawford,Kansas,20037,4528,80
Providence,Rhode Island,44007,83108,1846
Cowley,Kansas,20035,3815,9
Bristol,Rhode Island,44001,4247,134
Clinton,Iowa,19045,5000,84
Comanche,Kansas,20033,159,9
Kent,Rhode Island,44003,15508,326
Crawford,Iowa,19047,2520,35
Coffey,Kansas,20031,711,14
Clay,Iowa,19041,1835,25
Clayton,Iowa,19043,1598,54
Washington,Rhode Island,44009,7867,160
Decatur,Kansas,20039,259,1
Pershing,Nevada,32027,939,20
Patrick,Virginia,51141,1203,36
Nye,Nevada,32023,2795,94
Pittsylvania,Virginia,51143,4775,69
Mineral,Nevada,32021,296,6
Powhatan,Virginia,51145,1650,9
Prince Edward,Virginia,51147,1962,28
Prince George,Virginia,51149,3005,16
Storey,Nevada,32029,80,3
Elk,Kansas,20049,176,0
Dickinson,Iowa,19059,2023,40
Edwards,Kansas,20047,262,0
Douglas,Kansas,20045,8653,78
Delaware,Iowa,19055,1853,40
Doniphan,Kansas,20043,942,7
Des Moines,Iowa,19057,4271,61
Davis,Iowa,19051,762,23
Decatur,Iowa,19053,568,9
Lincoln,Nevada,32017,347,1
Prince William,Virginia,51153,39570,441
Lander,Nevada,32015,442,8
Pulaski,Virginia,51155,2330,55
Humboldt,Nevada,32013,1067,13
Rappahannock,Virginia,51157,300,2
Eureka,Nevada,32011,50,0
Richmond,Virginia,51159,1372,8
Dickinson,Kansas,20041,1688,36
Lyon,Nevada,32019,2760,57
Carroll,Iowa,19027,2663,49
Butler,Kansas,20015,7217,76
Cass,Iowa,19029,1286,51
Brown,Kansas,20013,1215,32
Butler,Iowa,19023,1586,31
Bourbon,Kansas,20011,1283,3
Calhoun,Iowa,19025,1292,11
