state,fips,cases,deaths
Washington,53,290288,3972
Illinois,17,1062121,19876
California,06,2937755,32947
Arizona,04,662597,11060
Massachusetts,25,459927,13509
Wisconsin,55,563866,5771
Texas,48,2096526,32212
Nebraska,31,181895,1904
Utah,49,320175,1475
Oregon,41,131296,1763
Florida,12,1548059,23798
New York,36,1213179,40203
Rhode Island,44,104443,2005
Georgia,13,776485,11757
New Hampshire,33,55500,908
North Carolina,37,661506,7996
New Jersey,34,616086,20320
Colorado,08,373647,5417
Maryland,24,320923,6494
Nevada,32,258438,3704
Tennessee,47,663486,8233
Hawaii,15,24032,315
Indiana,18,586206,9246
Kentucky,21,324505,3395
Minnesota,27,443630,5918
Oklahoma,40,348044,2925
Pennsylvania,42,760552,18978
South Carolina,45,375967,6037
District of Columbia,11,33140,842
Kansas,20,259196,3514
Missouri,29,464931,6619
Vermont,50,9734,163
Virginia,51,422634,5656
Connecticut,09,223422,6594
Iowa,19,303927,4257
Louisiana,22,364853,8080
Ohio,39,814442,10057
Michigan,26,578294,14539
South Dakota,46,104937,1629
Arkansas,05,267635,4263
Delaware,10,68727,1002
Mississippi,28,248189,5411
New Mexico,35,161805,2876
North Dakota,38,95621,1395
Wyoming,56,48909,522
Alaska,02,51163,220
Maine,23,32781,477
Alabama,01,417528,6030
Idaho,16,154785,1606
Montana,30,88725,1086
West Virginia,54,106649,1733
