state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,2572750.0,1243596.0,686099.0,54350.0
Illinois,17,4093855.0,2153991.0,939034.0,84036.0
California,06,13233190.0,6739681.0,3042381.0,256584.0
Arizona,04,2453985.0,1298827.0,627446.0,53198.0
Massachusetts,25,2381160.0,1341520.0,578386.0,52052.0
Wisconsin,55,1876225.0,1024560.0,558736.0,40300.0
Texas,48,8839175.0,3955205.0,2174327.0,181691.0
Nebraska,31,665870.0,332116.0,175405.0,13011.0
Utah,49,953380.0,422649.0,197103.0,12054.0
Oregon,41,1363665.0,677995.0,385738.0,26216.0
Florida,12,7200465.0,3328742.0,1859056.0,101286.0
New York,36,6565865.0,3052380.0,1574158.0,121644.0
Rhode Island,44,354585.0,208621.0,82946.0,9181.0
Georgia,13,3339265.0,1310024.0,805346.0,32206.0
New Hampshire,33,466775.0,255746.0,106637.0,8368.0
North Carolina,37,3301865.0,1692968.0,930616.0,64444.0
New Jersey,34,2783610.0,1609464.0,801346.0,65554.0
Colorado,08,1933440.0,972060.0,513386.0,28668.0
Maryland,24,2110295.0,992264.0,550801.0,42628.0
Nevada,32,984300.0,478334.0,253502.0,18282.0
Tennessee,47,2147660.0,965429.0,501995.0,40345.0
Hawaii,15,571340.0,259210.0,154495.0,8910.0
Indiana,18,2132730.0,1053529.0,626952.0,34034.0
Kentucky,21,1449775.0,759350.0,382469.0,29933.0
Minnesota,27,1861010.0,1013705.0,503513.0,42011.0
Oklahoma,40,1635550.0,739525.0,426191.0,30556.0
Pennsylvania,42,4332465.0,2080306.0,950079.0,78068.0
South Carolina,45,1541005.0,784515.0,412007.0,29268.0
District of Columbia,11,324505.0,90190.0,44086.0,4913.0
Kansas,20,1044425.0,462106.0,229206.0,16959.0
Missouri,29,1900855.0,917676.0,475411.0,41522.0
Vermont,50,246000.0,111890.0,59938.0,3991.0
Virginia,51,2784575.0,1469462.0,798930.0,62240.0
Connecticut,09,1345595.0,759702.0,314508.0,23052.0
Iowa,19,1020845.0,567609.0,206008.0,20308.0
Louisiana,22,1515740.0,717682.0,401946.0,27950.0
Ohio,39,3817675.0,1829145.0,999780.0,71267.0
Michigan,26,3179160.0,1590980.0,904341.0,53383.0
South Dakota,46,376770.0,193978.0,100474.0,6364.0
Arkansas,05,990640.0,452615.0,249956.0,18831.0
Delaware,10,347965.0,154498.0,84956.0,7237.0
Mississippi,28,1005145.0,448882.0,241445.0,22804.0
New Mexico,35,862495.0,488139.0,264446.0,15580.0
North Dakota,38,289160.0,153398.0,82964.0,6054.0
Wyoming,56,224885.0,103497.0,57249.0,3093.0
Alaska,02,409125.0,172414.0,104129.0,3905.0
Maine,23,487680.0,229456.0,109024.0,4162.0
Alabama,01,1530470.0,688791.0,365456.0,23916.0
Idaho,16,546405.0,275118.0,145396.0,10173.0
Montana,30,387485.0,199610.0,101700.0,6959.0
West Virginia,54,659465.0,330737.0,213203.0,9702.0
