Autauga,55869
Baldwin,223234
Barbour,24686
Bibb,22394
Blount,57826
Bullock,10101
Butler,19448
Calhoun,113605
Chambers,33254
Cherokee,26196
Chilton,44428
Choctaw,12589
Clarke,23622
Clay,13235
Cleburne,14910
Coffee,52342
Colbert,55241
Conecuh,12067
Coosa,10663
Covington,37049
Crenshaw,13772
Cullman,83768
Dale,49172
Dallas,37196
DeKalb,71513
Elmore,81209
Escambia,36633
Etowah,102268
Fayette,16302
Franklin,31362
Geneva,26271
Greene,8111
Hale,14651
Henry,17205
Houston,105882
Jackson,51626
Jefferson,658573
Lamar,13805
Lauderdale,92729
Lawrence,32924
Lee,164542
Limestone,98915
Lowndes,9726
Macon,18068
Madison,372909
Marengo,18863
Marion,29709
Marshall,96774
Mobile,413210
Monroe,20733
Montgomery,226486
Morgan,119679
Perry,8923
Pickens,19930
Pike,33114
Randolph,22722
Russell,57961
St. Clair,89512
Shelby,217702
Sumter,12427
Talladega,79978
Tallapoosa,40367
Tuscaloosa,209355
Walker,63521
Washington,16326
Wilcox,10373
Winston,23629
