Aleutians East Borough,3337
Aleutians West Census Area,5634
Anchorage Municipality,288000
Bethel Census Area,18386
Bristol Bay Borough,836
Denali Borough,2097
Dillingham Census Area,4916
Fairbanks North Star Borough,96849
Haines Borough,2530
Hoonah-Angoon Census Area,2148
Juneau City and Borough,31974
Kenai Peninsula Borough,58708
Ketchikan Gateway Borough,13901
Kodiak Island Borough,12998
Kusilvak Census Area,8314
Lake and Peninsula Borough,1592
Matanuska-Susitna Borough,108317
Nome Census Area,10004
North Slope Borough,9832
Northwest Arctic Borough,7621
Petersburg Borough,3266
Prince of Wales-Hyder Census Area,6203
Sitka City and Borough,8493
Skagway Municipality,1183
Southeast Fairbanks Census Area,6893
Valdez-Cordova Census Area,9202
Wrangell City and Borough,2502
Yakutat City and Borough,579
Yukon-Koyukuk Census Area,5230
