Adams,517421
Alamosa,16233
Arapahoe,656590
Archuleta,14029
Baca,3581
Bent,5577
Boulder,326196
Broomfield,70465
Chaffee,20356
Cheyenne,1831
Clear Creek,9700
Conejos,8205
Costilla,3887
Crowley,6061
Custer,5068
Delta,31162
Denver,727211
Dolores,2055
Douglas,351154
Eagle,55127
Elbert,26729
El Paso,720403
Fremont,47839
Garfield,60061
Gilpin,6243
Grand,15734
Gunnison,17462
Hinsdale,820
Huerfano,6897
Jackson,1392
Jefferson,582881
Kiowa,1406
Kit Carson,7097
Lake,8127
La Plata,56221
Larimer,356899
Las Animas,14506
Lincoln,5701
Logan,22409
Mesa,154210
Mineral,769
Moffat,13283
Montezuma,26183
Montrose,42758
Morgan,29068
Otero,18278
Ouray,4952
Park,18845
Phillips,4265
Pitkin,17767
Prowers,12172
Pueblo,168424
Rio Blanco,6324
Rio Grande,11267
Routt,25638
Saguache,6824
San Juan,728
San Miguel,8179
Sedgwick,2248
Summit,31011
Teller,25388
Washington,4908
Weld,324492
Yuma,10019
