Alachua,269043
Baker,29210
Bay,174705
Bradford,28201
Brevard,601942
Broward,1952778
Calhoun,14105
Charlotte,188910
Citrus,149657
Clay,219252
Collier,384902
Columbia,71686
DeSoto,38001
Dixie,16826
Duval,957755
Escambia,318316
Flagler,115081
Franklin,12125
Gadsden,45660
Gilchrist,18582
Glades,13811
Gulf,13639
Hamilton,14428
Hardee,26937
Hendry,42022
Hernando,193920
Highlands,106221
Hillsborough,1471968
Holmes,19617
Indian River,159923
Jackson,46414
Jefferson,14246
Lafayette,8422
Lake,367118
Lee,770577
Leon,293582
Levy,41503
Liberty,8354
Madison,18493
Manatee,403253
Marion,365579
Martin,161000
Miami-Dade,2716940
Monroe,74228
Nassau,88625
Okaloosa,210738
Okeechobee,42168
Orange,1393452
Osceola,375751
Palm Beach,1496770
Pasco,553947
Pinellas,974996
Polk,724777
Putnam,74521
St. Johns,264672
St. Lucie,328297
Santa Rosa,184313
Sarasota,433742
Seminole,471826
Sumter,132420
Suwannee,44417
Taylor,21569
Union,15237
Volusia,553284
Wakulla,33739
Walton,74071
Washington,25473
