Appling,18386
Atkinson,8165
Bacon,11164
Baker,3038
Baldwin,44890
Banks,19234
Barrow,83240
Bartow,107738
Ben Hill,16700
Berrien,19397
Bibb,153159
Bleckley,12873
Brantley,19109
Brooks,15457
Bryan,39627
Bulloch,79608
Burke,22383
Butts,24936
Calhoun,6189
Camden,54666
Candler,10803
Carroll,119992
Catoosa,67580
Charlton,13392
Chatham,289430
Chattahoochee,10907
Chattooga,24789
Cherokee,258773
Clarke,128331
Clay,2834
Clayton,292256
Clinch,6618
Cobb,760141
Coffee,43273
Colquitt,45600
Columbia,156714
Cook,17270
Coweta,148509
Crawford,12404
Crisp,22372
Dade,16116
Dawson,26108
Decatur,26404
DeKalb,759297
Dodge,20605
Dooly,13390
Dougherty,87956
Douglas,146343
Early,10190
Echols,4006
Effingham,64296
Elbert,19194
Emanuel,22646
Evans,10654
Fannin,26188
Fayette,114421
Floyd,98498
Forsyth,244252
Franklin,23349
Fulton,1063937
Gilmer,31369
Glascock,2971
Glynn,85292
Gordon,57963
Grady,24633
Greene,18324
Gwinnett,936250
Habersham,45328
Hall,204441
Hancock,8457
Haralson,29792
Harris,35236
Hart,26205
Heard,11923
Henry,234561
Houston,157863
Irwin,9416
Jackson,72977
Jasper,14219
Jeff Davis,15115
Jefferson,15362
Jenkins,8676
Johnson,9643
Jones,28735
Lamar,19077
Lanier,10423
Laurens,47546
Lee,29992
Liberty,61435
Lincoln,7921
Long,19559
Lowndes,117406
Lumpkin,33610
McDuffie,21312
McIntosh,14378
Macon,12947
Madison,29880
Marion,8359
Meriwether,21167
Miller,5718
Mitchell,21863
Monroe,27578
Montgomery,9172
Morgan,19276
Murray,40096
Muscogee,195769
Newton,111744
Oconee,40280
Oglethorpe,15259
Paulding,168667
Peach,27546
Pickens,32591
Pierce,19465
Pike,18962
Polk,42613
Pulaski,11137
Putnam,22119
Quitman,2299
Rabun,17137
Randolph,6778
Richmond,202518
Rockdale,90896
Schley,5257
Screven,13966
Seminole,8090
Spalding,66703
Stephens,25925
Stewart,6621
Sumter,29524
Talbot,6195
Taliaferro,1537
Tattnall,25286
Taylor,8020
Telfair,15860
Terrell,8531
Thomas,44451
Tift,40644
Toombs,26830
Towns,12037
Treutlen,6901
Troup,69922
Turner,7985
Twiggs,8120
Union,24511
Upson,26320
Walker,69761
Walton,94593
Ware,35734
Warren,5254
Washington,20374
Wayne,29927
Webster,2607
Wheeler,7855
White,30798
Whitfield,104628
Wilcox,8635
Wilkes,9777
Wilkinson,8954
Worth,20247
