Ada,481587
Adams,4294
Bannock,87808
Bear Lake,6125
Benewah,9298
Bingham,46811
Blaine,23021
Boise,7831
Bonner,45739
Bonneville,119062
Boundary,12245
Butte,2597
Camas,1106
Canyon,229849
Caribou,7155
Cassia,24030
Clark,845
Clearwater,8756
Custer,4315
Elmore,27511
Franklin,13876
Fremont,13099
Gem,18112
Gooding,15179
Idaho,16667
Jefferson,29871
Jerome,24412
Kootenai,165697
Latah,40108
Lemhi,8027
Lewis,3838
Lincoln,5366
Madison,39907
Minidoka,21039
Nez Perce,40408
Oneida,4531
Owyhee,11823
Payette,23951
Power,7681
Shoshone,12882
Teton,12142
Twin Falls,86878
Valley,11392
Washington,10194
