Alcona,10405
Alger,9108
Allegan,118081
Alpena,28405
Antrim,23324
Arenac,14883
Baraga,8209
Barry,61550
Bay,103126
Benzie,17766
Berrien,153401
Branch,43517
Calhoun,134159
Cass,51787
Charlevoix,26143
Cheboygan,25276
Chippewa,37349
Clare,30950
Clinton,79595
Crawford,14029
Delta,35784
Dickinson,25239
Eaton,110268
Emmet,33415
Genesee,405813
Gladwin,25449
Gogebic,13975
Grand Traverse,93088
Gratiot,40711
Hillsdale,45605
Houghton,35684
Huron,30981
Ingham,292406
Ionia,64697
Iosco,25127
Iron,11066
Isabella,69872
Jackson,158510
Kalamazoo,265066
Kalkaska,18038
Kent,656955
Keweenaw,2116
Lake,11853
Lapeer,87607
Leelanau,21761
Lenawee,98451
Livingston,191995
Luce,6229
Mackinac,10799
Macomb,873972
Manistee,24558
Marquette,66699
Mason,29144
Mecosta,43453
Menominee,22780
Midland,83156
Missaukee,15118
Monroe,150500
Montcalm,63888
Montmorency,9328
Muskegon,173566
Newaygo,48980
Oakland,1257584
Oceana,26467
Ogemaw,20997
Ontonagon,5720
Osceola,23460
Oscoda,8241
Otsego,24668
Ottawa,291830
Presque Isle,12592
Roscommon,24019
Saginaw,190539
St. Clair,159128
St. Joseph,60964
Sanilac,41170
Schoolcraft,8094
Shiawassee,68122
Tuscola,52245
Van Buren,75677
Washtenaw,367601
Wayne,1749343
Wexford,33631
