Beaverhead,9453
Big Horn,13319
Blaine,6681
Broadwater,6237
Carbon,10725
Carter,1252
Cascade,81366
Chouteau,5635
Custer,11402
Daniels,1690
Dawson,8613
Deer Lodge,9140
Fallon,2846
Fergus,11050
Flathead,103806
Gallatin,114434
Garfield,1258
Glacier,13753
Golden Valley,821
Granite,3379
Hill,16484
Jefferson,12221
Judith Basin,2007
Lake,30458
Lewis and Clark,69432
Liberty,2337
Lincoln,19980
McCone,1664
Madison,8600
Meagher,1862
Mineral,4397
Missoula,119600
Musselshell,4633
Park,16606
Petroleum,487
Phillips,3954
Pondera,5911
Powder River,1682
Powell,6890
Prairie,1077
Ravalli,43806
Richland,10803
Roosevelt,11004
Rosebud,8937
Sanders,12113
Sheridan,3309
Silver Bow,34915
Stillwater,9642
Sweet Grass,3737
Teton,6147
Toole,4736
Treasure,696
Valley,7396
Wheatland,2126
Wibaux,969
Yellowstone,161300
