Adams,31363
Antelope,6298
Arthur,463
Banner,745
Blaine,465
Boone,5192
Box Butte,10783
Boyd,1919
Brown,2955
Buffalo,49659
Burt,6459
Butler,8016
Cass,26248
Cedar,8402
Chase,3924
Cherry,5689
Cheyenne,8910
Clay,6203
Colfax,10709
Cuming,8846
Custer,10777
Dakota,20026
Dawes,8589
Dawson,23595
Deuel,1794
Dixon,5636
Dodge,36565
Douglas,571327
Dundy,1693
Fillmore,5462
Franklin,2979
Frontier,2627
Furnas,4676
Gage,21513
Garden,1837
Garfield,1969
Gosper,1990
Grant,623
Greeley,2356
Hall,61353
Hamilton,9324
Harlan,3380
Hayes,922
Hitchcock,2762
Holt,10067
Hooker,682
Howard,6445
Jefferson,7046
Johnson,5071
Kearney,6495
Keith,8034
Keya Paha,806
Kimball,3632
Knox,8332
Lancaster,319090
Lincoln,34914
Logan,748
Loup,664
McPherson,494
Madison,35099
Merrick,7755
Morrill,4642
Nance,3519
Nemaha,6972
Nuckolls,4148
Otoe,16012
Pawnee,2613
Perkins,2891
Phelps,9034
Pierce,7148
Platte,33470
Polk,5213
Red Willow,10724
Richardson,7865
Rock,1357
Saline,14224
Sarpy,187196
Saunders,21578
Scotts Bluff,35618
Seward,17284
Sheridan,5246
Sherman,3001
Sioux,1166
Stanton,5920
Thayer,5003
Thomas,722
Thurston,7224
Valley,4158
Washington,20729
Wayne,9385
Webster,3487
Wheeler,783
York,13679
