Albany,305506
Allegany,46091
Bronx,1418207
Broome,190488
Cattaraugus,76117
Cayuga,76576
Chautauqua,126903
Chemung,83456
Chenango,47207
Clinton,80485
Columbia,59461
Cortland,47581
Delaware,44135
Dutchess,294218
Erie,918702
Essex,36885
Franklin,50022
Fulton,53383
Genesee,57280
Greene,47188
Hamilton,4416
Herkimer,61319
Jefferson,109834
Kings,2559903
Lewis,26296
Livingston,62914
Madison,70941
Monroe,741770
Montgomery,49221
Nassau,1356924
New York,1628706
Niagara,209281
Oneida,228671
Onondaga,460528
Ontario,109777
Orange,384940
Orleans,40352
Oswego,117124
Otsego,59493
Putnam,98320
Queens,2253858
Rensselaer,158714
Richmond,476143
Rockland,325789
St. Lawrence,107740
Saratoga,229863
Schenectady,155299
Schoharie,30999
Schuyler,17807
Seneca,34016
Steuben,95379
Suffolk,1476601
Sullivan,75432
Tioga,48203
Tompkins,102180
Ulster,177573
Warren,63944
Washington,61204
Wayne,89918
Westchester,967506
Wyoming,39859
Yates,24913
