Alamance,169509
Alexander,37497
Alleghany,11137
Anson,24446
Ashe,27203
Avery,17557
Beaufort,46994
Bertie,18947
Bladen,32722
Brunswick,142820
Buncombe,261191
Burke,90485
Cabarrus,216453
Caldwell,82178
Camden,10867
Carteret,69473
Caswell,22604
Catawba,159551
Chatham,74470
Cherokee,28612
Chowan,13943
Clay,11231
Cleveland,97947
Columbus,55508
Craven,102139
Cumberland,335509
Currituck,27763
Dare,37009
Davidson,167609
Davie,42846
Duplin,58741
Durham,321488
Edgecombe,51472
Forsyth,382295
Franklin,69685
Gaston,224529
Gates,11562
Graham,8441
Granville,60443
Greene,21069
Guilford,537174
Halifax,50010
Harnett,135976
Haywood,62317
Henderson,117417
Hertford,23677
Hoke,55234
Hyde,4937
Iredell,181806
Jackson,43938
Johnston,209339
Jones,9419
Lee,61779
Lenoir,55949
Lincoln,86111
McDowell,45756
Macon,35858
Madison,21755
Martin,22440
Mecklenburg,1110356
Mitchell,14964
Montgomery,27173
Moore,100880
Nash,94298
New Hanover,234473
Northampton,19483
Onslow,197938
Orange,148476
Pamlico,12726
Pasquotank,39824
Pender,63060
Perquimans,13463
Person,39490
Pitt,180742
Polk,20724
Randolph,143667
Richmond,44829
Robeson,130625
Rockingham,91010
Rowan,142088
Rutherford,67029
Sampson,63531
Scotland,34823
Stanly,62806
Stokes,45591
Surry,71783
Swain,14271
Transylvania,34385
Tyrrell,4016
Union,239859
Vance,44535
Wake,1111761
Warren,19731
Washington,11580
Watauga,56177
Wayne,123131
Wilkes,68412
Wilson,81801
Yadkin,37667
Yancey,18069
