Adams,2216
Barnes,10415
Benson,6832
Billings,928
Bottineau,6282
Bowman,3024
Burke,2115
Burleigh,95626
Cass,181923
Cavalier,3762
Dickey,4872
Divide,2264
Dunn,4424
Eddy,2287
Emmons,3241
Foster,3210
Golden Valley,1761
Grand Forks,69451
Grant,2274
Griggs,2231
Hettinger,2499
Kidder,2480
LaMoure,4046
Logan,1850
McHenry,5745
McIntosh,2497
McKenzie,15024
McLean,9450
Mercer,8187
Morton,31364
Mountrail,10545
Nelson,2879
Oliver,1959
Pembina,6801
Pierce,3975
Ramsey,11519
Ransom,5218
Renville,2327
Richland,16177
Rolette,14176
Sargent,3898
Sheridan,1315
Sioux,4230
Slope,750
Stark,31489
Steele,1890
Stutsman,20704
Towner,2189
Traill,8036
Walsh,10641
Ward,67641
Wells,3834
Williams,37589
