Adair,22194
Alfalfa,5702
Atoka,13758
Beaver,5311
Beckham,21859
Blaine,9429
Bryan,47995
Caddo,28762
Canadian,148306
Carter,48111
Cherokee,48657
Choctaw,14672
Cimarron,2137
Cleveland,284014
Coal,5495
Comanche,120749
Cotton,5666
Craig,14142
Creek,71522
Custer,29003
Delaware,43009
Dewey,4891
Ellis,3859
Garfield,61056
Garvin,27711
Grady,55834
Grant,4333
Greer,5712
Harmon,2653
Harper,3688
Haskell,12627
Hughes,13279
Jackson,24530
Jefferson,6002
Johnston,11085
Kay,43538
Kingfisher,15765
Kiowa,8708
Latimer,10073
Le Flore,49853
Lincoln,34877
Logan,48011
Love,10253
McClain,40474
McCurtain,32832
McIntosh,19596
Major,7629
Marshall,16931
Mayes,41100
Murray,14073
Muskogee,67997
Noble,11131
Nowata,10076
Okfuskee,11993
Oklahoma,797434
Okmulgee,38465
Osage,46963
Ottawa,31127
Pawnee,16376
Payne,81784
Pittsburg,43654
Pontotoc,38284
Pottawatomie,72592
Pushmataha,11096
Roger Mills,3583
Rogers,92459
Seminole,24258
Sequoyah,41569
Stephens,43143
Texas,19983
Tillman,7250
Tulsa,651552
Wagoner,81289
Washington,51527
Washita,10916
Woods,8793
Woodward,20211
