Aurora,2751
Beadle,18453
Bennett,3365
Bon Homme,6901
Brookings,35077
Brown,38839
Brule,5297
Buffalo,1962
Butte,10429
Campbell,1376
Charles Mix,9292
Clark,3736
Clay,14070
Codington,28009
Corson,4086
Custer,8972
Davison,19775
Day,5424
Deuel,4351
Dewey,5892
Douglas,2921
Edmunds,3829
Fall River,6713
Faulk,2299
Grant,7052
Gregory,4185
Haakon,1899
Hamlin,6164
Hand,3191
Hanson,3453
Harding,1298
Hughes,17526
Hutchinson,7291
Hyde,1301
Jackson,3344
Jerauld,2013
Jones,903
Kingsbury,4939
Lake,12797
Lawrence,25844
Lincoln,61128
Lyman,3781
McCook,5586
McPherson,2379
Marshall,4935
Meade,28332
Mellette,2061
Miner,2216
Minnehaha,193134
Moody,6576
Oglala Lakota,14177
Pennington,113775
Perkins,2865
Potter,2153
Roberts,10394
Sanborn,2344
Spink,6376
Stanley,3098
Sully,1391
Todd,10177
Tripp,5441
Turner,8384
Union,15932
Walworth,5435
Yankton,22814
Ziebach,2756
