Accomack,32316
Albemarle,109330
Alleghany,14860
Amelia,13145
Amherst,31605
Appomattox,15911
Arlington,236842
Augusta,75558
Bath,4147
Bedford,78997
Bland,6280
Botetourt,33419
Brunswick,16231
Buchanan,21004
Buckingham,17148
Campbell,54885
Caroline,30725
Carroll,29791
Charles City,6963
Charlotte,11880
Chesterfield,352802
Clarke,14619
Craig,5131
Culpeper,52605
Cumberland,9932
Dickenson,14318
Dinwiddie,28544
Essex,10953
Fairfax,1147532
Fauquier,71222
Floyd,15749
Fluvanna,27270
Franklin,56042
Frederick,89313
Giles,16720
Gloucester,37348
Goochland,23753
Grayson,15550
Greene,19819
Greensville,11336
Halifax,33911
Hanover,107766
Henrico,330818
Henry,50557
Highland,2190
Isle of Wight,37109
James City,76523
King and Queen,7025
King George,26836
King William,17148
Lancaster,10603
Lee,23423
Loudoun,413538
Louisa,37591
Lunenburg,12196
Madison,13261
Mathews,8834
Mecklenburg,30587
Middlesex,10582
Montgomery,98535
Nelson,14930
New Kent,23091
Northampton,11710
Northumberland,12095
Nottoway,15232
Orange,37051
Page,23902
Patrick,17608
Pittsylvania,60354
Powhatan,29652
Prince Edward,22802
Prince George,38353
Prince William,470335
Pulaski,34027
Rappahannock,7370
Richmond,9023
Roanoke,94186
Rockbridge,22573
Rockingham,81948
Russell,26586
Scott,21566
Shenandoah,43616
Smyth,30104
Southampton,17631
Spotsylvania,136215
Stafford,152882
Surry,6422
Sussex,11159
Tazewell,40595
Warren,40164
Washington,53740
Westmoreland,18015
Wise,37383
Wythe,28684
York,68280
Alexandria city,159428
Bristol city,16762
Buena Vista city,6478
Charlottesville city,47266
Chesapeake city,244835
Colonial Heights city,17370
Covington city,5538
Danville city,40044
Emporia city,5346
Fairfax city,24019
Falls Church city,14617
Franklin city,7967
Fredericksburg city,29036
Galax city,6347
Hampton city,134510
Harrisonburg city,53016
Hopewell city,22529
Lexington city,7446
Lynchburg city,82168
Manassas city,41085
Manassas Park city,17478
Martinsville city,12554
Newport News city,179225
Norfolk city,242742
Norton city,3981
Petersburg city,31346
Poquoson city,12271
Portsmouth city,94398
Radford city,18249
Richmond city,230436
Roanoke city,99143
Salem city,25301
Staunton city,24932
Suffolk city,92108
Virginia Beach city,449974
Waynesboro city,22630
Williamsburg city,14954
Winchester city,28078
